route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
沖館・新田線(42052),平日,平日_07時08分_系統42052,W53野木和団地（沖館・新田線）,,,1,1,42052
新町線(13072),平日,平日_07時09分_系統13072,B1明の星→青森駅（新町線）,,,1,0,13072
観光通り線(16051),平日,平日_07時10分_系統16051,K31公立大学（観光通り線）,,,0,1,16051
沖館・新田線(45021),平日,平日_07時10分_系統45021,W53野木和団地（沖館・新田線）,,,0,0,45021
造道・八重田線(36242),平日,平日_07時10分_系統36242,C10浪館→工業高校前（造道・八重田線）,,,1,0,36242
浪館通り線(35161),平日,平日_07時10分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
造道・八重田線(45012),平日,平日_07時10分_系統45012,C10県病→東部〈営〉（造道・八重田線）,,,1,1,45012
造道・八重田線(19042),平日,平日_07時10分_系統19042,C10幸畑→東部〈営〉（造道・八重田線）,,,1,0,19042
国道・古川線(25052),平日,平日_07時12分_系統25052,A1青森駅（国道・古川線）,,,1,1,25052
中筒井線(39172),平日,平日_07時14分_系統39172,J32幸畑団地（中筒井線）,,,1,1,39172
横内環状(14021),平日,平日_07時15分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
国道・古川線(24012),平日,平日_07時15分_系統24012,A1観光通り→青森駅（国道・古川線）,,,1,0,24012
国道・古川線(1021),平日,平日_07時15分_系統1021,A1青森駅（国道・古川線）,,,1,1,1021
造道・八重田線(28162),平日,平日_07時15分_系統28162,C10観光通り→東部〈営〉（造道・八重田線）,,,1,1,28162
国道・古川線(38052),平日,平日_07時16分_系統38052,A1青森駅（国道・古川線）,,,1,1,38052
県立美術館線(36271),平日,平日_07時16分_系統36271,S51三内丸山遺跡（県立美術館線）,,,0,1,36271
造道・八重田線(37052),平日,平日_07時16分_系統37052,C10県病→工業高校前（造道・八重田線）,,,1,0,37052
造道・八重田線(41112),平日,平日_07時16分_系統41112,C12西バイパス→県病（造道・八重田線）,,,1,1,41112
国道・古川線(33092),平日,平日_07時17分_系統33092,A1中大野→青森駅（国道・古川線）,,,1,1,33092
横内環状(14022),平日,平日_07時17分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
国道・古川線(6162),平日,平日_07時17分_系統6162,A1小柳団地→青森駅（国道・古川線）,,,1,1,6162
新町線(12062),平日,平日_07時17分_系統12062,B1浜館→青森駅（新町線）,,,1,1,12062
石江・新城線(42011),平日,平日_07時18分_系統42011,T50西部〈営〉（石江・新城線）,,,1,1,42011
旭町通り線(20121),平日,平日_07時18分_系統20121,M38南部工業団地（旭町通り線）,,,0,1,20121
観光通り線(28061),平日,平日_07時19分_系統28061,K43朝日放送（観光通り線）,,,0,1,28061
造道・八重田線(49021),平日,平日_07時20分_系統49021,C11浅虫温泉駅（造道・八重田線）,,,0,1,49021
沖館・新田線(21082),平日,平日_07時20分_系統21082,W53野木和団地（沖館・新田線）,,,0,0,21082
松森・浜館線(12061),平日,平日_07時20分_系統12061,H21戸山団地（松森・浜館線）,,,0,0,12061
国道・古川線(12212),平日,平日_07時20分_系統12212,A1中央大橋→青森駅（国道・古川線）,,,1,1,12212
新町線(49022),平日,平日_07時22分_系統49022,B1青森駅（新町線）,,,1,1,49022
石江・新城線(22172),平日,平日_07時22分_系統22172,T50西部〈営〉（石江・新城線）,,,1,1,22172
国道・古川線(6142),平日,平日_07時23分_系統6142,A1小柳団地→青森駅（国道・古川線）,,,1,1,6142
浪館通り線(38042),平日,平日_07時24分_系統38042,P41細越（浪館通り線）,,,0,0,38042
国道・古川線(56091),平日,平日_07時25分_系統56091,A1東バイパス→青森駅（国道・古川線）,,,1,1,56091
造道・八重田線(44242),平日,平日_07時25分_系統44242,C10県病→東部〈営〉（造道・八重田線）,,,1,1,44242
新町線(28062),平日,平日_07時25分_系統28062,B1青森駅（新町線）,,,1,1,28062
新町線(12192),平日,平日_07時27分_系統12192,B1明の星→青森駅（新町線）,,,1,1,12192
観光通り線(16121),平日,平日_07時27分_系統16121,K31公立大学（観光通り線）,,,0,1,16121
造道・八重田線(45022),平日,平日_07時28分_系統45022,C10県病→東部〈営〉（造道・八重田線）,,,1,1,45022
中筒井線(19031),平日,平日_07時28分_系統19031,J38流通団地（中筒井線）,,,0,0,19031
明の星通り線(12141),平日,平日_07時30分_系統12141,G21戸山団地（明の星通り線）,,,0,1,12141
国道・古川線(1021),平日,平日_07時30分_系統1021,A1青森駅（国道・古川線）,,,1,0,1021
造道・八重田線(1091),平日,平日_07時30分_系統1091,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1091
国道・古川線(56061),平日,平日_07時31分_系統56061,A1東バイパス→青森駅（国道・古川線）,,,1,1,56061
観光通り線(22031),平日,平日_07時31分_系統22031,K37問屋町（観光通り線）,,,0,0,22031
浪館通り線(35141),平日,平日_07時32分_系統35141,P40慈恵会病院（浪館通り線）,,,0,0,35141
大野循環(85011),平日,平日_07時32分_系統85011,M大野循環→青森駅（旭町通り線）,,,1,1,85011
観光通り線(21021),平日,平日_07時32分_系統21021,K34市民病院（観光通り線）,,,0,1,21021
観光通り線(24011),平日,平日_07時34分_系統24011,K33学校教育センター（観光通り線）,,,0,1,24011
